Artist,Album,Song,Streams
Lil Wayne,Orphan,Red Rum,73560
Lil Wayne,Features,Get Your Sissors Up (feat. Lil Wayne),73061
Lil Wayne,Features,Ma Money - Dirty,72618
Lil Wayne,Features,Im So High,71693
Lil Wayne,Orphan,Show Em,70927
Lil Wayne,Features,I'm Into You - Dave Aude Club,70342
Lil Wayne,Features,I Can Transform Ya (feat. Swizz Beatz & Lil' Wayne) - Instrumental,70100
Lil Wayne,Features,Turn on the Lights - Drop-Zone Remix,69851
Lil Wayne,Features,Look At Me Now - Remix,69695
Lil Wayne,Certified,#1 Fly Boy,69061
Lil Wayne,Orphan,The Freestyle,68794
Lil Wayne,Features,The Love Us,65141
Lil Wayne,Features,My Homies Still,64774
Lil Wayne,Features,Shovlin' Snow - Album Version (Edited),64703
Lil Wayne,Features,Colorful Clothes,63976
Lil Wayne,Features,I Just Wanna Hit,63905
Lil Wayne,Features,Oh Yeah,63735
Lil Wayne,Features,Black Out Feat. Lil Wayne,62273
Lil Wayne,Tha Carter Screwed And Chopped,This Is The Carter - Chopped & Screwed,61568
Lil Wayne,Features,Pressure,61335
Lil Wayne,Features,I'm Goin' In,60542
Lil Wayne,Features,Catch Me If You Can,60430
Lil Wayne,Features,Neck Of The Woods - Screwed & Chopped,60417
Lil Wayne,Features,Moonlight - Single Radio Edit,60211
Lil Wayne,Features,Get Your Cook Game Like Mine - Remix,58588
Lil Wayne,Features,The Girl Crazy (feat. Lil Wayne),58399
Lil Wayne,Features,Ain't It Man - Main,57674
Lil Wayne,Features,That Money - Original Radio Mix,57547
Lil Wayne,Features,I Know,57375
Lil Wayne,Features,Motherfuck Em,57085
Lil Wayne,Orphan,Imma Stay Hood,56997
Lil Wayne,Features,What You Sayin (feat. Lil Wayne),56900
Lil Wayne,Features,I'm Into You - Gregor Salto Hype Radio,56623
Lil Wayne,Features,Picture Perfect,55548
Lil Wayne,Features,I Don't Even Know You Anymore (feat. Bazzi & Lil Wayne) - Nitti Gritti Remix,53869
Lil Wayne,Features,Stuntastic,52706
Lil Wayne,Tha Carter Screwed And Chopped,Who Wanna - Chopped & Screwed,52502
Lil Wayne,Tha Carter Screwed And Chopped,The Heat - Chopped & Screwed,52290
Lil Wayne,Orphan,I Can't Feel My Face,52126
Lil Wayne,Tha Carter Screwed And Chopped,Hoes - Chopped & Screwed,51841
Lil Wayne,Features,Speeding,51513
Lil Wayne,Features,Ghetto Life,51373
Lil Wayne,Features,Been Had It (Rock On),51310
Lil Wayne,Features,What U Scared 4,51259
Lil Wayne,Features,By Myself,50534
Lil Wayne,Features,Make It Rain - Art & Life Remix,50388
Lil Wayne,Features,Tell Me,50385
Lil Wayne,Tha Carter Screwed And Chopped,On My Own - Chopped & Screwed,50173
Lil Wayne,Tha Carter Screwed And Chopped,Snitch - Chopped & Screwed,49614
Lil Wayne,Features,Ma Money - Radio Edit,47839
Lil Wayne,Tha Carter Screwed And Chopped,Only Way - Chopped & Screwed,47653
Lil Wayne,Features,Yall 4 got,47382
Lil Wayne,Tha Carter Screwed And Chopped,We Don't - Chopped & Screwed,47095
Lil Wayne,Orphan,Like a Man,45368
Lil Wayne,Orphan,Stops In The A,45173
Lil Wayne,Features,Key to the Streets - June James Genius Mix,44551
Lil Wayne,Certified,If U Trappin,44543
Lil Wayne,Orphan,On Fire,43840
Lil Wayne,Features,Nike Boots Dipset - Remix,43736
Lil Wayne,Features,Execution Style,43267
Lil Wayne,Features,We Hustle,43194
Lil Wayne,Certified,I Love Cali,42683
Lil Wayne,Orphan,No Hesitation,42130
Lil Wayne,Features,Leanin Low,41744
Lil Wayne,Features,Maybach Music,40901
Lil Wayne,Tha Carter Screwed And Chopped,Get Down - Chopped & Screwed,40890
Lil Wayne,Features,Blood Ni**az,40682
Lil Wayne,Orphan,If I Die Today,40388
Lil Wayne,Features,Make It Rain - Acapella,40138
Lil Wayne,Welcome To The Concrete Jungle,Sports Center,39796
Lil Wayne,Features,Winding on Me (feat. Lil Wayne & Ron Browz),39782
Lil Wayne,Features,Little Girl Gone,38904
Lil Wayne,Certified,I Keep It Street All Day,37004
